doi,openalex_id,title,reading_list
http://doi.org/10.1177/1350506807084854,,Open forum imaginary prohibitions: Some preliminary remarks on the founding gestures of the �new materialism�,new_materialism
https://doi.org/10.1215/9780822388128-005,,Agential realism: How material-discursive practices matter,new_materialism
https://doi.org/10.1215/9780822388128-007,,Spacetime re(con)figurings: Naturalcultural forces and changing topologies of power,new_materialism
https://doi.org/10.1215/08992363-17-3-445,,The agency of assemblages and the North American blackout,new_materialism
https://doi.org/10.1215/9780822391623,,Vibrant matter: A political ecology of things,new_materialism
https://doi.org/10.5040/9781501337086,,Objects and affects,new_materialism
https://doi.org/10.6092/issn.2038-3460/16991,,Practice and its overflows: Reflections on order and mess,new_materialism
https://doi.org/10.1111/johs.12124,,An Indigenous feminist�s take on the ontological turn: �Ontology� is just another word for colonialism,new_materialism
https://doi.org/10.1353/ncr.2004.0015,,"Unsettling the coloniality of being/power/truth/freedom: Towards the human, after man, its overrepresentation� an argument",new_materialism
https://doi.org/10.1080/01972243.2011.583819,,Critical making: Conceptual and material studies in technology and social life,critical_making
https://doi.org/10.1080/00497878.2019.1593842,,Build it better: Tinkering in feminist maker pedagogy,critical_making
https://doi.org/10.1016/j.compcom.2019.05.002,,"Re-making the makerspace: Body, power, and identity in critical making practices",critical_making
https://doi.org/10.28968/cftt.v5i1.29607,,Crip technoscience manifesto,critical_making
https://doi.org/10.18574/nyu/9781479819386.003.0032,,Crip making,critical_making
https://doi.org/10.5749/j.ctt1pwt6wq.19,,Thinking as handwork: Critical making with humanistic concerns,critical_making
https://doi.org/10.1353/con.2021.0003,,Machine dream anthropocene: On taking a bot to the MLA,critical_making
https://doi.org/10.1177/14687941251390758,,Decolonizing methodology: Co-designing research with the voices and footprints of the community,critical_making
https://doi.org/10.7551/mitpress/12255.003.0004,,"�Introduction: #TravelingWhileTrans, design justice, and escape from the matrix of domination",critical_making
https://doi.org/10.4324/9780367855055,,Subjectivation in the making: The hybrid logics of productivity and play in the university makerspace,critical_making
https://doi.org/10.1215/9780822371816,,"Designs for the pluriverse: Radical interdependence, autonomy, and the making of worlds",critical_making
https://doi.org/10.1177/14767503251403419,,(En)tangled ethics and relational mobilities: Reflections on decolonial feminist digital participatory action research,critical_making
https://doi.org/10.1145/3592367.3592369,,Decolonizing community-engaged research: Designing CER with cultural humility as a foundational value,critical_making
https://doi.org/10.1080/10572252.2021.1930180,,Decolonial dinners: Ethical consideration of decolonial metaphors in TPC scholarship,critical_making
https://doi.org/10.1080/13511610.2023.2195583,,Introducing the Critical Making Responsibility Framework for analyzing responsible innovation processes in grassroots practices,critical_making
https://doi.org/10.4324/9781003036760,,Design thinking in technical communication: Solving problems through making and collaboration,critical_making
